RunNumber,BeamEnergy,Threshold,GearGeoFile
000688,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xml
000689,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xml
000690,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xm
000691,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xml
000692,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xml
000703,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xml
000850,4.8,6,alignedGear-xyzShift-zRot-DUT-xyzShift-zRot-run000703.xml





